case_name,method,selected_count,objective_mape_pct,worst_objective_error_pct,line_loading_mae_pct,voltage_min_mae_pu,selection_time_s,reduced_opf_time_s,full_opf_time_s,time_saving_ratio,scenario_retention_ratio,sample_id,sample_seed
case30,forward_feature,12,0.36084823103482994,1.6872261345171902,0.2826886299054318,7.358940443803598e-05,0.0007272000002558343,1.7799916000039957,2.6981092000041826,1.515798838600208,0.6666666666666666,4,2029
case30,opf_sensitivity,12,0.4185606949211227,2.937462563054367,0.34012962051260903,0.00011902234505183845,0.3156968000002962,1.8025239000035072,2.6981092000041826,1.4968507213684838,0.6666666666666666,4,2029
case30,opf_kkt_active_set,12,0.3712366259440988,2.0332123751946813,0.33562517709683387,8.708975971432547e-05,0.002346500001294771,1.7953078000027745,2.6981092000041826,1.502867196366001,0.6666666666666666,4,2029
case118,kmeans_feature,4,1.2133735910638281,2.729746319233068,0.008151265388635013,0.0003966278293617842,0.3012032000006002,1.3661458999977185,6.262576400000398,4.584119748857613,0.2222222222222222,4,2029
case118,forward_feature,4,1.5555883173052625,4.27183993213835,0.009973630994103101,0.00041291660026151106,0.0006279999997786945,1.3917678999987402,6.262576400000398,4.499727576707342,0.2222222222222222,4,2029
case118,opf_sensitivity,4,1.827864154342363,4.690240965925587,0.01120578069409565,0.0005922026072818406,0.3090298000006442,1.39182449999862,6.262576400000398,4.499544590576332,0.2222222222222222,4,2029
case118,opf_kkt_active_set,4,2.546703800428265,6.019982440897054,0.016814007288962873,0.0006564581552871305,0.0014494000006379792,1.4198756999976467,6.262576400000398,4.410651157711043,0.2222222222222222,4,2029
case118,kmeans_feature,8,0.7721815672133521,3.504967122408801,0.0052611877888695995,0.00038904001172348736,0.31502139999975043,2.814395700001114,6.262576400000398,2.225193991021916,0.4444444444444444,4,2029
case118,forward_feature,8,1.3175700314865546,4.772683342354557,0.008351811365476506,0.0003105968026591885,0.0007382000003417488,2.778518899998744,6.262576400000398,2.2539261474893078,0.4444444444444444,4,2029
case118,opf_sensitivity,8,0.9433488808701073,3.504967122408801,0.006019499475558219,0.0003024769437473355,0.3109124000002339,2.838354599998638,6.262576400000398,2.2064108550789965,0.4444444444444444,4,2029
case118,opf_kkt_active_set,8,1.4085128445005295,4.690240965925587,0.008383504289483805,0.0004043046682979205,0.001447599999664817,2.8321526999989146,6.262576400000398,2.211242494093909,0.4444444444444444,4,2029
case118,kmeans_feature,12,0.4172974046697135,2.3952728480273637,0.0025444560898560337,0.00018174733502918095,0.31379589999960444,4.177491100001134,6.262576400000398,1.4991238162060232,0.6666666666666666,4,2029
case118,forward_feature,12,0.3798771967417052,1.9922823056345782,0.0026409979373040768,9.740963705441431e-05,0.0007165999995777383,4.177032199999303,6.262576400000398,1.49928851398403,0.6666666666666666,4,2029
case118,opf_sensitivity,12,0.48507677105673674,2.339241628451316,0.0034800184995987925,0.00013946166798432338,0.3051242000001366,4.123955299999579,6.262576400000398,1.5185849371357243,0.6666666666666666,4,2029
case118,opf_kkt_active_set,12,0.6484154856401473,3.504967122408801,0.0037914863960226697,0.0002491343609997883,0.0014133000004221685,4.189683700000387,6.262576400000398,1.4947611439020612,0.6666666666666666,4,2029
case30,kmeans_feature,4,1.4244330841710093,3.833099714836199,1.0105937718120244,0.0019513449385694967,0.30445919999874604,0.5838048000023264,2.58906769999885,4.434817425256752,0.2222222222222222,5,2030
case30,forward_feature,4,1.6845659580589658,3.9368910928581133,1.4645348032833851,0.0020533904702198453,0.0008416999990004115,0.5754187000002275,2.58906769999885,4.499450052627463,0.2222222222222222,5,2030
case30,opf_sensitivity,4,0.9215068761891894,3.8415301439656115,0.7343697482374575,0.0026908162642821244,0.29706119999900693,0.5717378000008466,2.58906769999885,4.528417921632987,0.2222222222222222,5,2030
case30,opf_kkt_active_set,4,2.22321404938194,3.8846811992771104,1.793929380692082,0.0030205307574555393,0.0019381000001885695,0.5728215000017371,2.58906769999885,4.519850773741904,0.2222222222222222,5,2030
case30,kmeans_feature,8,0.5572992070579594,2.5326578363562993,0.33329946740231975,0.0001331243574986448,0.2983984000002238,1.1532842999986315,2.58906769999885,2.2449518301791866,0.4444444444444444,5,2030
case30,forward_feature,8,0.6948787283969514,2.6512754486524273,0.5046467138748751,0.00012839912035533807,0.0007755000006000046,1.1491356000005908,2.58906769999885,2.25305673237999,0.4444444444444444,5,2030
case30,opf_sensitivity,8,0.4391923598780251,2.6512754486524273,0.5050162889550399,0.00015082231211575406,0.29693850000148814,1.1541745999984414,2.58906769999885,2.2432201332470374,0.4444444444444444,5,2030
case30,opf_kkt_active_set,8,0.5424464139944656,2.6512754486524273,0.5846696014817339,0.0001297837855715035,0.003585100001146202,1.1513915000014094,2.58906769999885,2.248642360131789,0.4444444444444444,5,2030
case30,kmeans_feature,12,0.3258463095985229,2.5827983501078187,0.2327703770125827,6.659538823904231e-05,0.3032316000007995,1.7272202000003745,2.58906769999885,1.498979516333985,0.6666666666666666,5,2030
case30,forward_feature,12,0.3853820715471145,2.6512754486524273,0.2674266926437983,6.82155665556245e-05,0.0007067999995342689,1.7253620000010415,2.58906769999885,1.5005939043500942,0.6666666666666666,5,2030
case30,opf_sensitivity,12,0.3757563336989523,2.6512754486524273,0.2611801464399666,6.234926840526573e-05,0.3007316000002902,1.7213171000003058,2.58906769999885,1.5041201298693831,0.6666666666666666,5,2030
case30,opf_kkt_active_set,12,0.32565202950940575,2.6512754486524273,0.24491948977403333,5.879790101909816e-05,0.0019451000007393304,1.7200421999987157,2.58906769999885,1.505234987839707,0.6666666666666666,5,2030
case118,kmeans_feature,4,1.655068994379488,4.844600799439263,0.01040459743844746,0.0005153066693227818,0.3013515999991796,1.3864032000001316,6.205793800001629,4.476182541991421,0.2222222222222222,5,2030
case118,forward_feature,4,2.034365835429137,4.871061835023585,0.014346393480508516,0.0005773217108250664,0.0006154000002425164,1.351048600001377,6.205793800001629,4.593316480247494,0.2222222222222222,5,2030
